Country,Area,Continent,Parameter,Age,Sex,Variable,SIGICategories,Categories,Value,Average
El Salvador,Central America,America,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,38.70%
El Salvador,Central America,America,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,53.1%,38.70%
El Salvador,Central America,America,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,38.70%
El Salvador,Central America,America,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,90%,38.70%
El Salvador,Central America,America,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,39.4%,38.70%
El Salvador,Central America,America,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,38.70%
El Salvador,Central America,America,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,63%,38.70%
El Salvador,Central America,America,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,72.8%,38.70%
El Salvador,Central America,America,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,38.70%
El Salvador,Central America,America,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,38.70%
El Salvador,Central America,America,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,83.7%,38.70%
El Salvador,Central America,America,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,38.70%
Equatorial Guinea,Middle Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,none,12.20%
Equatorial Guinea,Middle Africa,Africa,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,none,12.20%
Equatorial Guinea,Middle Africa,Africa,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,12.20%
Equatorial Guinea,Middle Africa,Africa,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,none,12.20%
Equatorial Guinea,Middle Africa,Africa,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,12.20%
Equatorial Guinea,Middle Africa,Africa,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,43%,12.20%
Equatorial Guinea,Middle Africa,Africa,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,12.20%
Equatorial Guinea,Middle Africa,Africa,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,12.20%
Equatorial Guinea,Middle Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,12.20%
Equatorial Guinea,Middle Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,12.20%
Equatorial Guinea,Middle Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,12.20%
Equatorial Guinea,Middle Africa,Africa,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,12.20%
Equatorial Guinea,Middle Africa,Africa,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,78%,12.20%
Equatorial Guinea,Middle Africa,Africa,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,12.20%
Eritrea,Eastern Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,,23.20%
Eritrea,Eastern Africa,Africa,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,none,23.20%
Eritrea,Eastern Africa,Africa,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,23.20%
Eritrea,Eastern Africa,Africa,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,none,23.20%
Eritrea,Eastern Africa,Africa,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,23.20%
Eritrea,Eastern Africa,Africa,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,49%,23.20%
Eritrea,Eastern Africa,Africa,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,23.20%
Eritrea,Eastern Africa,Africa,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,82.20%,23.20%
Eritrea,Eastern Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,23.20%
Eritrea,Eastern Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,23.20%
Eritrea,Eastern Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,23.20%
Eritrea,Eastern Africa,Africa,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,23.20%
Eritrea,Eastern Africa,Africa,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,82.6%,23.20%
Eritrea,Eastern Africa,Africa,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,17%,23.20%
Estonia,Northern Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,99.6%,50.70%
Estonia,Northern Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,77.6%,50.70%
Estonia,Northern Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,50.70%
Estonia,Northern Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,77%,50.70%
Estonia,Northern Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,50.70%
Estonia,Northern Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,82.2%,50.70%
Estonia,Northern Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,74.7%,50.70%
Estonia,Northern Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,50.70%
Estonia,Northern Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,62.8%,50.70%
Estonia,Northern Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,90.2%,50.70%
Estonia,Northern Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,77.8%,50.70%
Estonia,Northern Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,73.3%,50.70%
Estonia,Northern Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,99.7%,50.70%
Estonia,Northern Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,50.70%
Eswatini,Southern Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,none,20.50%
Eswatini,Southern Africa,Africa,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,36.6%,20.50%
Eswatini,Southern Africa,Africa,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,20.50%
Eswatini,Southern Africa,Africa,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,80.1%,20.50%
Eswatini,Southern Africa,Africa,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,20.50%
Eswatini,Southern Africa,Africa,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,68%,20.50%
Eswatini,Southern Africa,Africa,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,20.50%
Eswatini,Southern Africa,Africa,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,20.50%
Eswatini,Southern Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,20.50%
Eswatini,Southern Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,20.50%
Eswatini,Southern Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,20.50%
Eswatini,Southern Africa,Africa,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,20.50%
Eswatini,Southern Africa,Africa,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,96%,20.50%
Eswatini,Southern Africa,Africa,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,20.50%
Ethiopia,Eastern Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,29.1%,52.80%
Ethiopia,Eastern Africa,Africa,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,47.8%,52.80%
Ethiopia,Eastern Africa,Africa,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,49.6%,52.80%
Ethiopia,Eastern Africa,Africa,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,56.5%,52.80%
Ethiopia,Eastern Africa,Africa,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,40.3%,52.80%
Ethiopia,Eastern Africa,Africa,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,86.3%,52.80%
Ethiopia,Eastern Africa,Africa,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,53.8%,52.80%
Ethiopia,Eastern Africa,Africa,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,79.30%,52.80%
Ethiopia,Eastern Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,59.3%,52.80%
Ethiopia,Eastern Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,51.6%,52.80%
Ethiopia,Eastern Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,38.7%,52.80%
Ethiopia,Eastern Africa,Africa,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,65.2%,52.80%
Ethiopia,Eastern Africa,Africa,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,82.6%,52.80%
Ethiopia,Eastern Africa,Africa,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,34.8%,52.80%
Fiji,Melanesia,Oceania,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,none,21.50%
Fiji,Melanesia,Oceania,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,none,21.50%
Fiji,Melanesia,Oceania,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,21.50%
Fiji,Melanesia,Oceania,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,none,21.50%
Fiji,Melanesia,Oceania,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,21.50%
Fiji,Melanesia,Oceania,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,75.8%,21.50%
Fiji,Melanesia,Oceania,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,21.50%
Fiji,Melanesia,Oceania,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,21.50%
Fiji,Melanesia,Oceania,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,21.50%
Fiji,Melanesia,Oceania,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,21.50%
Fiji,Melanesia,Oceania,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,21.50%
Fiji,Melanesia,Oceania,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,21.50%
Fiji,Melanesia,Oceania,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,96.1%,21.50%
Fiji,Melanesia,Oceania,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,21.50%
Finland,Northern Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,99.1%,62.40%
Finland,Northern Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,74.2%,62.40%
Finland,Northern Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,62.40%
Finland,Northern Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,81.9%,62.40%
Finland,Northern Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,62.40%
Finland,Northern Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,86.8%,62.40%
Finland,Northern Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,64.6%,62.40%
Finland,Northern Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,62.40%
Finland,Northern Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,88.2%,62.40%
Finland,Northern Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,96%,62.40%
Finland,Northern Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,85.9%,62.40%
Finland,Northern Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,88.2%,62.40%
Finland,Northern Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,99.7%,62.40%
Finland,Northern Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,62.40%
France,Western Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,100%,50.70%
France,Western Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,77.1%,50.70%
France,Western Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,50.70%
France,Western Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,60.2%,50.70%
France,Western Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,50.70%
France,Western Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,94.5%,50.70%
France,Western Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,50.70%
France,Western Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,50.70%
France,Western Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,87.8%,50.70%
France,Western Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,88.5%,50.70%
France,Western Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,69%,50.70%
France,Western Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,90.4%,50.70%
France,Western Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,97.2%,50.70%
France,Western Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,50.70%
Gabon,Middle Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,20.5%,16.20%
Gabon,Middle Africa,Africa,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,31%,16.20%
Gabon,Middle Africa,Africa,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,22.6%,16.20%
Gabon,Middle Africa,Africa,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,47.4%,16.20%
Gabon,Middle Africa,Africa,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,20.3%,16.20%
Gabon,Middle Africa,Africa,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,42%,16.20%
Gabon,Middle Africa,Africa,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,16.20%
Gabon,Middle Africa,Africa,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,16.20%
Gabon,Middle Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,16.20%
Gabon,Middle Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,16.20%
Gabon,Middle Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,16.20%
Gabon,Middle Africa,Africa,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,16.20%
Gabon,Middle Africa,Africa,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,86.5%,16.20%
Gabon,Middle Africa,Africa,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,16.20%
Gambia,Western Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,24.8%,29.80%
Gambia,Western Africa,Africa,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,31.1%,29.80%
Gambia,Western Africa,Africa,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,16.8%,29.80%
Gambia,Western Africa,Africa,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,72.4%,29.80%
Gambia,Western Africa,Africa,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,8.3%,29.80%
Gambia,Western Africa,Africa,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,43%,29.80%
Gambia,Western Africa,Africa,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,29.80%
Gambia,Western Africa,Africa,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,46%,29.80%
Gambia,Western Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,29.80%
Gambia,Western Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,29.80%
Gambia,Western Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,29.80%
Gambia,Western Africa,Africa,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,29.80%
Gambia,Western Africa,Africa,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,81.1%,29.80%
Gambia,Western Africa,Africa,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,27.4%,29.80%
Georgia,Western Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,70.7%,49.20%
Georgia,Western Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,73.4%,49.20%
Georgia,Western Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,49.20%
Georgia,Western Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,50.2%,49.20%
Georgia,Western Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,49.20%
Georgia,Western Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,91.3%,49.20%
Georgia,Western Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,73.8%,49.20%
Georgia,Western Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,49.20%
Georgia,Western Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,42.6%,49.20%
Georgia,Western Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,50.4%,49.20%
Georgia,Western Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,21.5%,49.20%
Georgia,Western Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,47.5%,49.20%
Georgia,Western Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,88.8%,49.20%
Georgia,Western Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,49.20%
Germany,Western Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,100%,52.20%
Germany,Western Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,67.3%,52.20%
Germany,Western Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,52.20%
Germany,Western Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,68.9%,52.20%
Germany,Western Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,52.20%
Germany,Western Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,97.5%,52.20%
Germany,Western Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,84.4%,52.20%
Germany,Western Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,52.20%
Germany,Western Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,91.8%,52.20%
Germany,Western Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,90.8%,52.20%
Germany,Western Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,70.9%,52.20%
Germany,Western Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,90.6%,52.20%
Germany,Western Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,99.7%,52.20%
Germany,Western Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,52.20%
Ghana,Western Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,31.5%,54.60%
Ghana,Western Africa,Africa,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,62.7%,54.60%
Ghana,Western Africa,Africa,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,18.9%,54.60%
Ghana,Western Africa,Africa,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,60.5%,54.60%
Ghana,Western Africa,Africa,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,21.9%,54.60%
Ghana,Western Africa,Africa,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,63%,54.60%
Ghana,Western Africa,Africa,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,45.9%,54.60%
Ghana,Western Africa,Africa,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,94.40%,54.60%
Ghana,Western Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,18.7%,54.60%
Ghana,Western Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,50.7%,54.60%
Ghana,Western Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,66.9%,54.60%
Ghana,Western Africa,Africa,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,31.2%,54.60%
Ghana,Western Africa,Africa,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,92.7%,54.60%
Ghana,Western Africa,Africa,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,97.6%,54.60%
Greece,Southern Europe,Europe,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,93.4%,56.10%
Greece,Southern Europe,Europe,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,53%,56.10%
Greece,Southern Europe,Europe,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,56.10%
Greece,Southern Europe,Europe,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,47.3%,56.10%
Greece,Southern Europe,Europe,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,56.10%
Greece,Southern Europe,Europe,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,95%,56.10%
Greece,Southern Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,72.8%,56.10%
Greece,Southern Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,56.10%
Greece,Southern Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,72.9%,56.10%
Greece,Southern Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,62.1%,56.10%
